How Python Talks To Data   Python and MySQL:

Python And MySQL Introduction						https://youtu.be/5FgoZr5piOk
Connecting To MySQL From Python						https://youtu.be/91JNCfh4kH4
Cursor                                              https://youtu.be/1ic0Se7yroE
Create A Table                                      https://youtu.be/nJDtBZkco8I
Execute many                                        https://youtu.be/nVQAb_B0lvI
Update                                              https://youtu.be/qYsr8_UBQBo
Alternate Update                                    https://youtu.be/Lbshh2P72_E
Update Many                                         https://youtu.be/2VjIXSiXieM
Delete                                              https://youtu.be/hzi6bkPGT4s
Alternate Delete                                    https://youtu.be/RzmLbtLk3Jo
